Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),Isoprene (E/B),n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS)
2317,8198,1,202,7/21/09,19:21:38,19:22:35,202.807,202.807,40015.8067,40015.8073,35,-118.94,6151,,,,2009,,,,1.947,,,518,0.00001,532,237,76.4,16.5,4.071,3.4,,,53.6,209,23.8,21.9,,,12,9.23,87.5,27.82,0.2,2.38,528,9.71,0.146,0.67,0.18,,,,10.93,3.89,4.05,0.65,1.97,0.39,0.625,,410,11,29,61,12,7,8,,0.00001,,,10,4,0.00001,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,,,0.00001,10,,8,,8,4,0.00001,,,,,,,,0.00001,0.00001,0.00001,24,92,116,0.00001,0.00001,211,,1111,,1333,408
2302,7167,1,202,7/21/09,19:24:00,19:24:57,202.808,202.809,40015.8083,40015.809,35.08,-119.1,3772,,,,2009,,OPENED FOR TWO SECONDS WITH ANOTHER SAMPLE,,1.808,,,519,0.00001,542,244,77.8,16.9,4.243,4,,,53.9,211,24.5,23.3,,,13.05,9.09,89.8,27.69,0.208,2.72,520,9.56,0.156,0.61,0.18,,,,7.69,3.37,3.34,0.5,2.41,0.61,1.105,,523,23,43,131,10,23,65,,0.00001,,,143,96,0.00001,17,7,0.00001,0.00001,0.00001,5,0.00001,37,8,4,8,0.00001,5,,,0.00001,4,,5,,11,8,0.00001,,,,,,,,0.00001,4,0.00001,32,124,171,3,0.00001,254,,947,,714,430
2315,6354,1,202,7/21/09,19:26:00,19:26:57,202.81,202.81,40015.8097,40015.8104,35.17,-119.23,1600,,,,2009,,,,1.94,,,495,14,533,239,76.3,16.7,4.5,8.2,,,63.8,223,24.9,24.5,,,22.2,9.18,88.7,34.04,0.392,6.3,501,12.22,0.421,0.67,0.3,,,,11.76,8.66,16.09,2.17,17.4,2.54,4.975,,1596,64,117,992,7,180,355,,0.00001,,,145,109,4,22,10,3,0.00001,0.00001,10,5,60,16,11,15,0.00001,0.00001,,,12,11,,13,,21,24,0.00001,,,,,,,,0.00001,0.00001,0.00001,5,9,6,0.00001,0.00001,409,,1533,,4331,1792
2303,7226,1,202,7/21/09,19:29:15,19:30:10,202.812,202.813,40015.812,40015.8126,35.35,-119.38,1221,,,,2009,,,,1.944,,,505,12,535,242,77.4,16.9,4.348,7.2,,,65.2,229,25,25.1,,,20.55,9.32,89.9,36.6,0.316,5.04,523,12.26,0.399,0.65,0.3,,,,10.59,7.86,11.37,1.7,9.44,1.57,2.94,,1037,65,107,519,8,94,143,,0.00001,,,95,55,0.00001,13,7,0.00001,0.00001,0.00001,5,0.00001,49,6,11,12,0.00001,0.00001,,,10,4,,8,,19,24,0.00001,,,,,,,,0.00001,0.00001,0.00001,8,19,19,0.00001,0.00001,492,,1121,,2693,1686
2314,6269,1,202,7/21/09,19:31:00,19:31:53,202.813,202.814,40015.8132,40015.8138,35.44,-119.43,1220,,,,2009,,,,1.922,,,487,17,538,240,76.6,16.7,4.348,4,,,59.2,222,23.6,24.7,,,26.1,9.25,89.5,44.53,0.284,4.21,503,11.32,0.375,0.67,0.26,,,,10.8,6.71,8.35,1.28,5.63,0.95,1.745,,710,45,94,252,7,40,66,,0.00001,,,59,30,0.00001,9,4,0.00001,0.00001,0.00001,8,0.00001,42,5,7,10,0.00001,5,,,6,0.00001,,4,,15,17,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,9,6,0.00001,5,619,,1415,,4898,3865
2319,8160,1,202,7/21/09,19:33:00,19:33:56,202.815,202.815,40015.8146,40015.8152,35.57,-119.43,1212,,,,2009,,,,2.008,,,502,13,530,243,77.4,16.6,4.367,3.5,,,63.8,267,25.6,25.9,,,20.25,9.42,91,38.31,0.344,4.94,517,11.52,0.421,0.69,0.28,,,,11.42,8,10.38,1.63,8.04,1.1,2.245,,742,53,109,344,9,66,112,,0.00001,,,72,39,0.00001,11,4,0.00001,0.00001,0.00001,8,0.00001,48,5,29,13,0.00001,0.00001,,,10,0.00001,,4,,19,19,0.00001,,,,,,,,0.00001,0.00001,0.00001,8,18,16,3,4,668,,1666,,5744,2433
2304,7123,1,202,7/21/09,19:34:30,19:35:08,202.816,202.816,40015.8156,40015.8161,35.66,-119.44,1211,,,,2009,,,,1.863,,,494,8,539,241,77.6,16.9,4.338,3.4,,,63.1,228,24.8,25.7,,,19.5,9.27,90.1,35.38,0.276,4.88,515,11.72,0.43,0.68,0.28,,,,11.04,7.26,9.31,1.43,6.44,1.02,1.86,,779,50,110,301,6,45,69,,0.00001,,,59,28,0.00001,8,5,0.00001,0.00001,0.00001,7,0.00001,36,4,6,8,0.00001,0.00001,,,8,0.00001,,5,,19,18,0.00001,,,,,,,,0.00001,0.00001,0.00001,7,18,18,0.00001,0.00001,556,,1445,,5757,2623
2313,6399,1,202,7/21/09,19:36:00,19:36:38,202.817,202.817,40015.8167,40015.8171,35.76,-119.45,1214,,,,2009,,,,1.885,,,491,8,531,240,77,16.6,4.224,3.3,,,59.3,220,24.3,24.3,,,33.15,9.2,89.3,38.31,0.252,4.36,505,10.8,0.37,0.65,0.26,,,,10.57,6.53,7.84,1.27,4.99,0.78,1.47,,655,46,91,241,8,34,46,,0.00001,,,46,21,0.00001,8,4,0.00001,0.00001,0.00001,7,0.00001,29,0.00001,6,9,0.00001,0.00001,,,6,0.00001,,4,,15,13,0.00001,,,,,,,,0.00001,0.00001,0.00001,3,8,6,0.00001,0.00001,376,,1082,,3841,2007
2320,8163,1,202,7/21/09,19:37:30,19:38:08,202.818,202.818,40015.8177,40015.8181,35.86,-119.46,1211,,,,2009,,,,1.889,,,510,6,544,244,78,16.5,4.329,3.7,,,57.6,225,25.4,24.8,,,16.35,9.28,90.3,35.75,0.232,3.81,523,10.76,0.295,0.63,0.26,,,,9.01,5.37,6.09,0.99,3.87,0.53,1.065,,573,38,70,165,6,22,39,,0.00001,,,39,16,6,7,4,0.00001,0.00001,0.00001,0.00001,0.00001,37,0.00001,26,7,0.00001,10,,,5,0.00001,,0.00001,,13,10,0.00001,,,,,,,,0.00001,0.00001,0.00001,4,13,9,0.00001,0.00001,397,,1159,,5178,2288
2305,7160,1,202,7/21/09,19:39:00,19:39:38,202.819,202.819,40015.8188,40015.8192,35.96,-119.45,1217,,,,2009,,,,1.88,,,496,12,537,242,77.7,16.8,4.271,3.4,,,59.7,223,25.3,25.2,,,19.2,9.26,90.2,35.75,0.264,4.23,511,10.46,0.409,0.66,0.3,,,,10.64,6.9,8.5,1.37,5.56,0.73,1.49,,633,54,100,237,7,28,50,,0.00001,,,56,21,0.00001,7,4,0.00001,0.00001,0.00001,7,0.00001,37,4,6,8,0.00001,0.00001,,,6,0.00001,,3,,16,15,0.00001,,,,,,,,0.00001,0.00001,0.00001,4,10,8,0.00001,0.00001,488,,1277,,5658,3086
