Year,Month,NH,HATS_NH_CCl4_sd,HATS_SH_CCl4,HATS_SH_CCl4_sd,Global,HATS_Global_CCl4_sd,HATS_alt_CCl4,HATS_alt_CCl4_sd,HATS_sum_CCl4,HATS_sum_CCl4_sd,HATS_brw_CCl4,HATS_brw_CCl4_sd,HATS_mhd_CCl4,HATS_mhd_CCl4_sd,HATS_thd_CCl4,HATS_thd_CCl4_sd,HATS_nwr_CCl4,HATS_nwr_CCl4_sd,HATS_kum_CCl4,HATS_kum_CCl4_sd,HATS_mlo_CCl4,HATS_mlo_CCl4_sd,HATS_smo_CCl4,HATS_smo_CCl4_sd,HATS_cgo_CCl4,HATS_cgo_CCl4_sd,HATS_ush_CCl4,HATS_ush_CCl4_sd,HATS_psa_CCl4,HATS_psa_CCl4_sd,HATS_spo_CCl4,HATS_spo_CCl4_sd,HATS_CCl4_Programs
1988,3,108.837,0.973,nan,nan,nan,nan,nan,nan,nan,nan,108.102,1.079,nan,nan,nan,nan,nan,nan,nan,nan,109.004,0.947,104.702,0.75,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,4,108.589,0.735,nan,nan,nan,nan,nan,nan,nan,nan,108.969,1.148,nan,nan,nan,nan,nan,nan,nan,nan,108.503,0.603,104.747,0.57,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,5,108.322,0.701,nan,nan,nan,nan,nan,nan,nan,nan,108.588,0.984,nan,nan,nan,nan,nan,nan,nan,nan,108.261,0.619,104.343,0.475,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,6,108.278,0.496,nan,nan,nan,nan,nan,nan,nan,nan,107.613,0.701,nan,nan,nan,nan,nan,nan,nan,nan,108.429,0.437,104.277,0.45,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,7,108.431,0.546,nan,nan,nan,nan,nan,nan,nan,nan,107.931,0.808,nan,nan,nan,nan,nan,nan,nan,nan,108.544,0.466,104.144,0.484,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,8,108.412,0.56,nan,nan,nan,nan,nan,nan,nan,nan,108.451,0.603,nan,nan,nan,nan,nan,nan,nan,nan,108.403,0.55,103.615,0.606,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,9,108.364,0.644,nan,nan,nan,nan,nan,nan,nan,nan,108.48,0.453,nan,nan,nan,nan,nan,nan,nan,nan,108.338,0.68,103.688,0.591,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,10,108.204,0.696,nan,nan,nan,nan,nan,nan,nan,nan,108.484,0.479,nan,nan,nan,nan,nan,nan,nan,nan,108.141,0.736,104.679,0.564,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,11,108.373,0.717,nan,nan,nan,nan,nan,nan,nan,nan,108.825,0.566,nan,nan,nan,nan,nan,nan,nan,nan,108.27,0.747,105.682,0.42,nan,nan,nan,nan,nan,nan,nan,nan,10000
1988,12,108.7,0.701,nan,nan,nan,nan,nan,nan,nan,nan,109.368,0.756,nan,nan,nan,nan,nan,nan,nan,nan,108.549,0.688,106.185,0.761,nan,nan,nan,nan,nan,nan,nan,nan,10000
