Year,Month,NH,HATS_NH_F113_sd,HATS_SH_F113,HATS_SH_F113_sd,Global,HATS_Global_F113_sd,HATS_alt_F113,HATS_alt_F113_sd,HATS_sum_F113,HATS_sum_F113_sd,HATS_brw_F113,HATS_brw_F113_sd,HATS_mhd_F113,HATS_mhd_F113_sd,HATS_thd_F113,HATS_thd_F113_sd,HATS_nwr_F113,HATS_nwr_F113_sd,HATS_kum_F113,HATS_kum_F113_sd,HATS_mlo_F113,HATS_mlo_F113_sd,HATS_smo_F113,HATS_smo_F113_sd,HATS_cgo_F113,HATS_cgo_F113_sd,HATS_ush_F113,HATS_ush_F113_sd,HATS_psa_F113,HATS_psa_F113_sd,HATS_spo_F113,HATS_spo_F113_sd,HATS_F113_Programs
1992,2,82.302,0.496,75.926,0.975,79.114,1.094,82.61,0.99,nan,nan,82.91,0.28,nan,nan,nan,nan,82.47,0.29,nan,nan,82,0.59,75.18,0.61,76.88,1.3,nan,nan,nan,nan,nan,nan,1
1992,3,82.443,0.587,76.566,0.711,79.504,0.922,84.418,0.777,nan,nan,82.982,1.597,nan,nan,nan,nan,83.26,0.269,nan,nan,81.474,0.205,76.712,0.833,76.38,0.515,nan,nan,nan,nan,nan,nan,1
1992,4,82.557,0.367,76.746,0.617,79.652,0.718,84.919,0.657,nan,nan,83.14,1,nan,nan,nan,nan,83.66,0.01,nan,nan,81.31,0.14,76.975,0.78,76.454,0.299,nan,nan,nan,nan,nan,nan,1
1992,5,82.342,0.241,76.921,0.559,79.632,0.609,85.06,0.478,nan,nan,82.48,0.22,nan,nan,nan,nan,83.229,0.263,nan,nan,81.338,0.189,77.107,0.69,76.684,0.321,nan,nan,nan,nan,nan,nan,1
1992,6,82.267,0.451,77.351,0.556,79.809,0.716,84.741,0.466,nan,nan,82.167,1.107,nan,nan,nan,nan,82.752,0.144,nan,nan,81.667,0.345,77.756,0.7,76.834,0.279,nan,nan,nan,nan,nan,nan,1
1992,7,82.708,0.621,77.685,1.025,80.197,1.199,85.367,0.628,nan,nan,83.48,0.739,nan,nan,nan,nan,83.281,0.83,nan,nan,81.821,0.321,78.22,1.28,77.104,0.67,nan,nan,nan,nan,77.09,0.43,1
1992,8,83.585,0.746,78.146,0.272,80.865,0.794,85.812,1.75,nan,nan,83.677,1,nan,nan,nan,nan,84.44,0.86,nan,nan,82.662,0.27,78.413,0.15,78.014,0.307,nan,nan,nan,nan,76.92,0.58,1
1992,9,83.518,1.097,78.475,0.525,80.997,1.216,85.59,0.563,nan,nan,83.659,0.841,nan,nan,nan,nan,84.675,1.61,nan,nan,82.354,0.521,78.142,0.288,78.487,0.465,nan,nan,nan,nan,80.892,1.431,1
1992,10,82.851,0.662,78.038,0.393,80.444,0.77,84.916,0.65,nan,nan,82.888,1.47,nan,nan,nan,nan,83.988,0.436,nan,nan,81.727,0.5,78.166,0.346,77.886,0.04,nan,nan,nan,nan,77.97,1.14,1
1992,11,82.76,0.513,78.775,0.421,80.768,0.664,85.202,0.395,nan,nan,83.413,0.749,nan,nan,nan,nan,83.772,0.585,nan,nan,81.564,0.377,79.106,0.273,78.21,0.354,nan,nan,nan,nan,79.6,1.112,1
1992,12,83.199,0.465,79.688,0.602,81.444,0.76,85.414,0.373,nan,nan,83.085,0.75,nan,nan,nan,nan,83.84,0.333,nan,nan,82.499,0.48,80.022,0.159,79.181,0.82,nan,nan,nan,nan,80.159,1.031,1
1993,1,83.137,0.365,79.576,0.253,81.356,0.444,85.311,0.462,nan,nan,83.138,0.442,nan,nan,nan,nan,84.042,0.446,nan,nan,82.199,0.24,79.602,0.203,79.525,0.225,nan,nan,nan,nan,79.678,0.558,1
1993,2,83.412,0.677,79.766,0.431,81.589,0.802,85.073,0.24,nan,nan,83.588,0.358,nan,nan,nan,nan,84.342,0.96,nan,nan,82.462,0.44,80.012,0.25,79.352,0.38,nan,nan,nan,nan,80.353,1.157,1
1993,3,83.801,0.268,79.774,0.546,81.788,0.608,85.318,0.385,nan,nan,84.37,0.44,nan,nan,nan,nan,84.515,0.285,nan,nan,82.952,0.172,79.696,0.522,79.541,0.39,nan,nan,nan,nan,81.714,1.155,1
1993,4,83.615,0.26,79.357,0.584,81.486,0.639,86.047,0.301,nan,nan,83.359,0.268,nan,nan,nan,nan,84.207,0.32,nan,nan,82.966,0.19,79.296,0.686,79.087,0.198,nan,nan,nan,nan,81.384,1.063,1
1993,5,83.279,0.502,79.578,0.487,81.428,0.699,85.672,0.198,nan,nan,82.135,0.175,nan,nan,nan,nan,84.051,0.76,nan,nan,82.689,0.239,79.821,0.483,78.945,0.17,nan,nan,nan,nan,81.452,1.215,1
1993,6,83.435,0.219,80.418,0.294,81.926,0.367,85.356,0.286,nan,nan,82.719,0.344,nan,nan,nan,nan,83.98,0.19,nan,nan,82.975,0.195,80.895,0.07,79.562,0.208,nan,nan,nan,nan,81.852,0.974,1
1993,7,83.818,0.429,80.635,0.518,82.227,0.672,84.947,0.381,nan,nan,84.351,0.35,nan,nan,nan,nan,84.244,0.655,nan,nan,83.245,0.05,80.906,0.45,79.974,0.395,nan,nan,nan,nan,82.47,1.187,1
1993,8,83.812,0.464,81.412,0.624,82.612,0.778,85.158,0.97,nan,nan,84.794,0.46,nan,nan,nan,nan,84.068,0.28,nan,nan,83.257,0.51,81.653,0.63,81.092,0.413,nan,nan,nan,nan,81.482,1.267,1
1993,9,83.887,0.612,81.522,0.682,82.704,0.916,85.398,0.91,nan,nan,84.385,0.79,nan,nan,nan,nan,84.089,0.535,nan,nan,83.47,0.59,81.738,0.755,81.273,0.611,nan,nan,nan,nan,81.366,0.47,1
1993,10,84.125,0.279,81.307,0.69,82.716,0.744,85.659,0.322,nan,nan,84.299,0.395,nan,nan,nan,nan,84.408,0.351,nan,nan,83.714,0.145,81.238,0.661,81.247,0.71,nan,nan,nan,nan,82.167,0.778,1
1993,11,84.229,0.549,81.402,1.289,82.816,1.401,85.777,0.187,nan,nan,85.132,0.59,nan,nan,nan,nan,84.492,0.75,nan,nan,83.667,0.32,81.906,1.7,80.464,0.485,nan,nan,nan,nan,83.119,0.914,1
1993,12,84.142,0.61,81.944,0.529,83.043,0.807,86.234,0.94,nan,nan,84.905,0.86,nan,nan,nan,nan,84.31,0.795,nan,nan,83.637,0.17,82.718,0.232,80.936,0.676,nan,nan,nan,nan,82.059,0.966,1
1994,1,84.143,0.163,81.615,0.518,82.879,0.543,85.791,0.223,nan,nan,84.359,0.09,nan,nan,nan,nan,84.463,0.247,nan,nan,83.681,0.021,82.383,0.47,80.57,0.515,nan,nan,nan,nan,81.982,0.8,1
1994,2,83.993,0.976,82.181,1.158,83.087,1.515,85.057,0.31,nan,nan,84.563,0.455,nan,nan,nan,nan,84.231,1.55,nan,nan,83.571,0.16,82.243,1.095,82.048,1.27,nan,nan,nan,nan,82.49,0.901,1
1994,3,84.122,1.469,82.886,1.094,83.504,1.832,85.496,1.42,nan,nan,84.986,0.622,nan,nan,nan,nan,84.066,1.65,nan,nan,83.844,1.455,82.643,0.366,83.116,1.63,nan,nan,nan,nan,83.352,0.772,1
1994,4,84.723,0.224,83.055,0.509,83.889,0.556,85.682,0.181,nan,nan,85.102,0.295,nan,nan,nan,nan,85.154,0.02,nan,nan,84.197,0.29,82.571,0.51,83.673,0.47,nan,nan,nan,nan,83.058,0.687,1
1994,5,84.905,0.354,82.966,0.726,83.935,0.808,85.818,1.06,nan,nan,85.034,0.28,nan,nan,nan,nan,85.307,0.37,nan,nan,84.464,0.184,82.914,0.91,82.97,0.45,nan,nan,nan,nan,83.321,0.43,1
1994,6,84.571,0.744,83.029,0.352,83.8,0.823,85.941,0.349,nan,nan,85.699,0.68,nan,nan,nan,nan,84.65,0.59,nan,nan,84.123,0.883,83.156,0.265,82.827,0.45,nan,nan,nan,nan,83.261,0.259,1
1994,7,84.634,0.286,82.753,0.526,83.693,0.599,85.921,0.207,nan,nan,85.421,0.607,nan,nan,nan,nan,84.858,0.23,nan,nan,84.154,0.209,82.886,0.17,82.503,0.75,nan,nan,nan,nan,83.22,0.68,1
1994,8,84.681,0.718,82.839,0.572,83.76,0.918,85.236,1.125,nan,nan,84.595,0.84,nan,nan,nan,nan,85.022,0.82,nan,nan,84.371,0.525,82.899,0.12,82.832,0.84,nan,nan,nan,nan,82.44,0.673,1
1994,9,84.301,0.614,83.444,1.195,83.873,1.344,85.292,0.535,nan,nan,84.274,0.86,nan,nan,nan,nan,84.282,0.6,nan,nan,84.23,0.563,83.866,1.3,82.988,1.14,nan,nan,nan,nan,82.964,0.494,1
1994,10,84.758,0.531,83.469,1.157,84.114,1.273,85.345,0.285,nan,nan,84.844,0.585,nan,nan,nan,nan,84.582,0.6,nan,nan,84.827,0.473,83.797,1.4,83.059,0.83,nan,nan,nan,nan,83.424,0.716,1
1994,11,85.14,0.53,83.357,0.722,84.248,0.896,85.546,0.206,nan,nan,85.415,0.49,nan,nan,nan,nan,85.233,0.25,nan,nan,84.964,0.7,83.485,0.63,83.136,0.767,nan,nan,nan,nan,83.69,1.03,1
1994,12,84.965,0.729,83.625,0.52,84.295,0.896,85.282,1.16,nan,nan,85.555,1.16,nan,nan,nan,nan,84.86,0.75,nan,nan,84.888,0.497,83.498,0.382,83.818,0.54,nan,nan,nan,nan,83.447,1.034,1
1995,1,84.698,0.777,83.528,0.334,84.113,0.846,85.214,1.24,nan,nan,85.422,0.57,nan,nan,nan,nan,84.67,0.32,nan,nan,84.507,0.993,83.307,0.01,83.798,0.38,nan,nan,nan,nan,83.606,0.868,1
1995,2,84.612,0.516,82.935,0.606,83.774,0.796,85.287,0.664,nan,nan,85.101,0.402,nan,nan,nan,nan,84.513,0.725,nan,nan,84.518,0.251,82.75,0.26,83.201,0.875,nan,nan,nan,nan,82.765,0.52,1001
1995,3,84.258,0.413,82.603,0.36,83.431,0.548,85.492,0.179,nan,nan,85.421,0.514,nan,nan,nan,nan,84.268,0.155,nan,nan,83.873,0.53,82.846,0.42,82.313,0.287,nan,nan,nan,nan,82.477,0.24,1001
1995,4,84.293,0.548,82.767,0.381,83.53,0.667,85.253,0.747,nan,nan,85.163,0.237,nan,nan,nan,nan,84.525,0.835,nan,nan,83.819,0.091,83.134,0.27,82.304,0.503,nan,nan,nan,nan,82.732,0.239,1001
1995,5,84.718,0.588,82.948,0.319,83.833,0.669,85.246,0.607,nan,nan,85.173,0.808,nan,nan,nan,nan,84.926,0.3,nan,nan,84.396,0.695,83.249,0.355,82.56,0.253,nan,nan,nan,nan,82.971,0.371,1001
1995,6,84.55,0.314,83.09,0.427,83.82,0.53,85.598,0.175,nan,nan,85.274,0.498,nan,nan,nan,nan,84.356,0.4,nan,nan,84.445,0.145,83.321,0.207,82.845,0.61,nan,nan,nan,nan,82.797,0.343,1001
1995,7,84.467,0.513,83.147,0.28,83.807,0.585,85.729,1.309,nan,nan,85.319,0.479,nan,nan,nan,nan,84.129,0.13,nan,nan,84.432,0.58,83.195,0.304,82.965,0.199,nan,nan,nan,nan,83.856,0.45,1001
1995,8,84.673,0.738,83.367,0.502,84.02,0.892,85.369,0.391,nan,nan,85.248,0.425,nan,nan,nan,nan,84.732,0.863,nan,nan,84.43,0.707,83.375,0.405,83.204,0.202,nan,nan,nan,nan,84.255,1.46,1001
1995,9,84.865,0.444,83.622,0.283,84.244,0.527,85.164,0.635,nan,nan,84.965,0.401,nan,nan,nan,nan,85.081,0.53,nan,nan,84.639,0.343,83.767,0.23,83.376,0.225,nan,nan,nan,nan,83.982,0.677,1001
1995,10,84.785,0.331,83.42,0.622,84.102,0.705,85.2,0.2,nan,nan,84.935,0.565,nan,nan,nan,nan,84.847,0.381,nan,nan,84.662,0.197,83.457,0.83,83.425,0.21,nan,nan,nan,nan,83.114,0.372,1001
1995,11,84.709,0.632,83.261,0.722,83.985,0.959,85.314,0.452,nan,nan,85.114,0.243,nan,nan,nan,nan,84.795,0.331,84.42,0.97,84.779,0.434,83.208,0.9,83.326,0.483,nan,nan,nan,nan,83.282,0.202,1001
1995,12,84.585,0.571,83.25,0.397,83.917,0.695,85.13,0.423,nan,nan,85.443,0.298,nan,nan,nan,nan,84.888,0.173,84.05,0.89,84.628,0.41,83.311,0.51,83.125,0.2,nan,nan,nan,nan,83.52,0.28,1001
1996,1,84.593,0.412,83.516,0.266,84.054,0.49,84.965,0.89,nan,nan,85.254,0.108,nan,nan,nan,nan,84.683,0.472,84.381,0.388,84.547,0.352,83.8,0.27,83.155,0.261,nan,nan,nan,nan,83.504,0.257,1001
